timestamp,buy_volume,sell_volume
2011-05-27T00:00:00.000Z,18.600893099999997,0
2011-05-28T00:00:00.000Z,18.444585489999998,51
2011-05-29T00:00:00.000Z,30.880673509999998,4
2011-05-30T00:00:00.000Z,527.3041941500001,8.42
2011-05-31T00:00:00.000Z,8450.007080439998,509.7
2011-06-01T00:00:00.000Z,22.694473499999997,0.21
2011-06-02T00:00:00.000Z,107.72581841000002,10.65
2011-06-03T00:00:00.000Z,31.444321720000005,5.129999999999998
2011-06-04T00:00:00.000Z,33.758437099999995,12.629999999999999
2011-06-05T00:00:00.000Z,18.256397640000007,0
2011-06-06T00:00:00.000Z,57.298746220000005,12.360000000000001
2011-06-07T00:00:00.000Z,510.70365268,2.81
2011-06-08T00:00:00.000Z,845.15991237,15.11
2011-06-09T00:00:00.000Z,30.145604990000002,5.08
2011-06-10T00:00:00.000Z,45.036608660000006,33.32
2011-06-11T00:00:00.000Z,1071.20147939,54.64
2011-06-12T00:00:00.000Z,122.60051448000002,100.16938567000001
2011-06-13T00:00:00.000Z,38.74672711,40.13
2011-06-14T00:00:00.000Z,1248.0887121599997,22.83
2011-06-15T00:00:00.000Z,53.756786950000006,0
2011-06-16T00:00:00.000Z,722.87344248,43.489999999999995
2011-06-17T00:00:00.000Z,202.99321245,40.559999999999995
2011-06-18T00:00:00.000Z,35.55245790999999,0
2011-06-19T00:00:00.000Z,101.74987099,43.69024111
2011-06-20T00:00:00.000Z,1093.61979517,69.1307216
2011-06-21T00:00:00.000Z,834.6519805700001,0
2011-06-22T00:00:00.000Z,953.8432993900002,6.14
2011-06-23T00:00:00.000Z,56.954212160000004,17.5
2011-06-24T00:00:00.000Z,259.8802572199999,115.74
2011-06-25T00:00:00.000Z,711.8082067299999,18.39
2011-06-26T00:00:00.000Z,553.5216490899999,7.54
2011-06-27T00:00:00.000Z,120.44621806000002,15.700000000000001
2011-06-28T00:00:00.000Z,366.01963601,212.63404004999998
2011-06-29T00:00:00.000Z,109.0969134,0
2011-06-30T00:00:00.000Z,188.70599481999994,0
2011-07-01T00:00:00.000Z,85.99206898000001,0
2011-07-02T00:00:00.000Z,28.0583979,23.08
2011-07-03T00:00:00.000Z,760.87517382,0
2011-07-04T00:00:00.000Z,311.48605946,26.1
2011-07-05T00:00:00.000Z,393.83406605000005,98.11994244
2011-07-06T00:00:00.000Z,339.77480181999994,106.58284409000001
2011-07-07T00:00:00.000Z,34.72281954,8.67
2011-07-08T00:00:00.000Z,290.40520459,113.51
2011-07-09T00:00:00.000Z,660.2528872900002,69.46499134
2011-07-10T00:00:00.000Z,32.5234248,95.81600866000001
2011-07-11T00:00:00.000Z,707.4352096199999,10.4
2011-07-12T00:00:00.000Z,13.012034080000001,30.25726971
2011-07-13T00:00:00.000Z,33.04180824,0
2011-07-14T00:00:00.000Z,214.91139427,31.08
2011-07-15T00:00:00.000Z,376.5949251099999,18.799999999999997
2011-07-16T00:00:00.000Z,95.62921055000001,29.403014910000003
2011-07-17T00:00:00.000Z,568.2693080500001,0
2011-07-18T00:00:00.000Z,42.65116086,19.810000000000002
2011-07-19T00:00:00.000Z,40.23205300000001,64.31
2011-07-20T00:00:00.000Z,123.48134542999999,0
2011-07-21T00:00:00.000Z,296.60561485999995,99.89304773
2011-07-22T00:00:00.000Z,20.75492036,0
2011-07-23T00:00:00.000Z,27.97313581,0
